,Rank,MedianHouseholdIncome,Zip,Population,geometry,Longitude,Latitude
79,80,118378,8867,5398,POINT (-74.96523352 40.5736392),-74.96523352,40.5736392
80,81,118286,7045,9560,POINT (-74.36758496 40.910676),-74.36758496,40.910676
81,82,118250,7946,3010,POINT (-74.51975975 40.66923294),-74.51975975,40.66923294
82,83,117893,8057,20821,POINT (-74.94119988 39.9793348),-74.94119988,39.9793348
83,84,117824,8824,12721,POINT (-74.55136131 40.42265252),-74.55136131,40.42265252
84,85,117596,7436,12914,POINT (-74.24109641 41.03130394),-74.24109641,41.03130394
85,86,117553,7876,10171,POINT (-74.65551648 40.85351008),-74.65551648,40.85351008
86,87,116723,8073,300,POINT (-74.86677906 40.00954214),-74.86677906,40.00954214
87,88,116276,7016,23150,POINT (-74.30372064 40.65647299),-74.30372064,40.65647299
88,89,116014,7040,24233,POINT (-74.2695903 40.73052845),-74.2695903,40.73052845
89,90,115424,7869,25668,POINT (-74.581259 40.84497888),-74.581259,40.84497888
90,91,115028,7676,9203,POINT (-74.06354168 40.98834491),-74.06354168,40.98834491
91,92,114991,8844,39365,POINT (-74.67288481 40.49862971),-74.67288481,40.49862971
92,93,114568,8820,39679,POINT (-74.36577671 40.57706764),-74.36577671,40.57706764
93,94,113409,8802,3887,POINT (-75.02417584 40.67665009),-75.02417584,40.67665009
94,95,113346,8801,8926,POINT (-74.88653773 40.62390489),-74.88653773,40.62390489
95,96,113294,8807,38242,POINT (-74.6153475 40.6076588),-74.6153475,40.6076588
96,97,113077,7642,10349,POINT (-74.03375375 41.00801563),-74.03375375,41.00801563
97,98,112656,8691,15251,POINT (-74.59395426 40.20974584),-74.59395426,40.20974584
98,99,112542,8061,2911,POINT (-75.1974935 39.79579489),-75.1974935,39.79579489
99,100,112319,8810,8905,POINT (-74.4963925 40.36790283),-74.4963925,40.36790283
100,101,112220,7076,23757,POINT (-74.3669495 40.62625803),-74.3669495,40.62625803
101,102,112219,7748,27583,POINT (-74.11564309 40.39428953),-74.11564309,40.39428953
102,103,111758,8559,5272,POINT (-74.97096098 40.43750998),-74.97096098,40.43750998
103,104,111076,7058,6166,POINT (-74.3513255 40.87607567),-74.3513255,40.87607567
104,105,110000,8501,6406,POINT (-74.5766255 40.14778673),-74.5766255,40.14778673
105,106,109792,8750,3731,POINT (-74.03587446 40.13017073),-74.03587446,40.13017073
106,107,109761,8551,5019,POINT (-74.8400742 40.44175078),-74.8400742,40.44175078
107,108,109235,8886,6826,POINT (-75.10517651 40.69338113),-75.10517651,40.69338113
108,109,109211,7940,16888,POINT (-74.41796099 40.75985849),-74.41796099,40.75985849
109,110,109023,8055,27353,POINT (-74.82234234 39.86366162),-74.82234234,39.86366162
110,111,108933,7821,9488,POINT (-74.74980126 40.96485259),-74.74980126,40.96485259
111,112,108693,7630,7517,POINT (-74.025235 40.97640682),-74.025235,40.97640682
112,113,108519,8003,30574,POINT (-74.9722525 39.8832899),-74.9722525,39.8832899
113,114,108421,7068,5835,POINT (-74.30854865 40.8207392),-74.30854865,40.8207392
114,115,107775,8840,16592,POINT (-74.36273 40.54219909),-74.36273,40.54219909
115,116,107682,7936,11256,POINT (-74.36380617 40.81920991),-74.36380617,40.81920991
116,117,107639,8041,1229,POINT (-74.68387753 40.03787371),-74.68387753,40.03787371
117,118,107574,8738,930,POINT (-74.05500809 40.02650879),-74.05500809,40.02650879
118,119,107273,8821,160,POINT (-74.68566156 40.52004484),-74.68566156,40.52004484
119,120,107261,7981,9187,POINT (-74.41907257 40.82208359),-74.41907257,40.82208359
120,121,107105,8827,4107,POINT (-74.97383368 40.66461597),-74.97383368,40.66461597
121,122,106880,7456,12320,POINT (-74.27536732 41.10632558),-74.27536732,41.10632558
122,123,106875,7030,51979,POINT (-74.0322201 40.74521864),-74.0322201,40.74521864
123,124,106750,7463,9808,POINT (-74.12606802 41.01323135),-74.12606802,41.01323135
124,125,106581,7726,43324,POINT (-74.34243103 40.28240605),-74.34243103,40.28240605
125,126,106563,7069,6078,POINT (-74.43946561 40.64257861),-74.43946561,40.64257861
126,127,106429,7933,3378,POINT (-74.46508049 40.69221886),-74.46508049,40.69221886
127,128,106403,7405,17908,POINT (-74.38310584 40.9864703),-74.38310584,40.9864703
128,129,106327,7656,8795,POINT (-74.04217535 41.03525905),-74.04217535,41.03525905
129,130,105696,7950,19485,POINT (-74.48237372 40.84453688),-74.48237372,40.84453688
130,131,105294,7834,17882,POINT (-74.486534 40.88844939),-74.486534,40.88844939
131,132,105044,8085,19263,POINT (-75.33008146 39.75822239),-75.33008146,39.75822239
132,133,104825,7470,55003,POINT (-74.24503568 40.94807426),-74.24503568,40.94807426
133,134,104730,7878,979,POINT (-74.47633526 40.8717738),-74.47633526,40.8717738
134,135,104388,7675,26753,POINT (-74.00414998 41.00918051),-74.00414998,41.00918051
135,136,104250,7661,11483,POINT (-74.03873703 40.92690775),-74.03873703,40.92690775
136,137,104235,7924,7717,POINT (-74.5896967 40.72695764),-74.5896967,40.72695764
137,138,103967,7932,10577,POINT (-74.39283064 40.7770862),-74.39283064,40.7770862
138,139,103654,7977,545,POINT (-74.669684 40.70403845),-74.669684,40.70403845
139,140,103384,7009,12499,POINT (-74.22880943 40.85660089),-74.22880943,40.85660089
140,141,103364,7438,11277,POINT (-74.51975413 41.03020496),-74.51975413,41.03020496
141,142,103361,7645,8000,POINT (-74.06263975 41.05671127),-74.06263975,41.05671127
142,143,103065,8822,31020,POINT (-74.86361766 40.52108881),-74.86361766,40.52108881
143,144,102774,8014,738,POINT (-75.35463483 39.81091401),-75.35463483,39.81091401
144,145,102168,7430,26242,POINT (-74.18605792 41.08176442),-74.18605792,41.08176442
145,146,101964,8033,16060,POINT (-75.0369863 39.89318022),-75.0369863,39.89318022
146,147,101406,7833,100,POINT (-75.06772725 40.89182691),-75.06772725,40.89182691
147,148,101126,7960,43932,POINT (-74.49967381 40.78341218),-74.49967381,40.78341218
148,149,100950,7041,7463,POINT (-74.3019775 40.72006236),-74.3019775,40.72006236
149,150,100884,7006,25250,POINT (-74.285706 40.85005734),-74.285706,40.85005734
150,151,100755,7410,32962,POINT (-74.11771362 40.93575882),-74.11771362,40.93575882
151,152,100680,7033,8045,POINT (-74.28898758 40.67820239),-74.28898758,40.67820239
152,153,100560,7718,6625,POINT (-74.08516597 40.42052722),-74.08516597,40.42052722
153,154,100461,7081,16729,POINT (-74.32560872 40.69946319),-74.32560872,40.69946319
154,155,100403,7836,13011,POINT (-74.70320977 40.84539073),-74.70320977,40.84539073
155,156,100366,7044,13966,POINT (-74.24314412 40.83245382),-74.24314412,40.83245382
156,157,100342,7626,8669,POINT (-73.9689525 40.94402093),-73.9689525,40.94402093
157,158,100336,7302,38811,POINT (-74.04688866 40.71980741),-74.04688866,40.71980741
158,159,100256,7980,2381,POINT (-74.48600275 40.66908832),-74.48600275,40.66908832
159,160,100208,8852,17242,POINT (-74.54848211 40.38778229),-74.54848211,40.38778229
160,161,99609,7020,11969,POINT (-73.97852251 40.82025528),-73.97852251,40.82025528
161,162,99568,8850,8484,POINT (-74.439991 40.45069502),-74.439991,40.45069502
162,163,99457,8809,6366,POINT (-74.92231639 40.6512292),-74.92231639,40.6512292
163,164,99177,7731,38217,POINT (-74.19984393 40.14955726),-74.19984393,40.14955726
164,165,98768,8690,18676,POINT (-74.66099186 40.22457966),-74.66099186,40.22457966
165,166,98571,7005,15215,POINT (-74.42103486 40.92948459),-74.42103486,40.92948459
166,167,97962,7648,5769,POINT (-73.95092877 40.99322307),-73.95092877,40.99322307
167,168,97857,7927,3670,POINT (-74.45337672 40.82129566),-74.45337672,40.82129566
168,169,97708,8826,5575,POINT (-74.90504258 40.71954454),-74.90504258,40.71954454
169,170,97370,8816,46670,POINT (-74.41617595 40.42861698),-74.41617595,40.42861698
170,171,97284,7440,4769,POINT (-74.29398337 40.94664993),-74.29398337,40.94664993
171,172,97173,8736,12213,POINT (-74.08043299 40.11858307),-74.08043299,40.11858307
172,173,97006,7075,8249,POINT (-74.0870225 40.8490264),-74.0870225,40.8490264
173,174,96968,7865,2004,POINT (-74.89897481 40.78464104),-74.89897481,40.78464104
174,175,96857,7480,16906,POINT (-74.37732018 41.08747819),-74.37732018,41.08747819
175,176,96745,8825,4413,POINT (-75.02492013 40.5130023),-75.02492013,40.5130023
176,177,96625,7935,407,POINT (-74.450463 40.73880426),-74.450463,40.73880426
177,178,96570,8823,9401,POINT (-74.5622445 40.43726972),-74.5622445,40.43726972
178,179,96454,7652,26612,POINT (-74.07118956 40.94555775),-74.07118956,40.94555775
179,180,96316,7757,5619,POINT (-74.01882748 40.31077153),-74.01882748,40.31077153
180,181,96293,7866,21737,POINT (-74.49041846 40.95358827),-74.49041846,40.95358827
181,182,96172,7004,7417,POINT (-74.30408341 40.88259472),-74.30408341,40.88259472
182,183,96103,7435,2282,POINT (-74.430751 41.0456596),-74.430751,41.0456596
183,184,95846,7847,1293,POINT (-74.626313 40.88239937),-74.626313,40.88239937
184,185,95839,7921,7930,POINT (-74.6774797 40.656938),-74.6774797,40.656938
185,186,95750,8829,3692,POINT (-74.89406429 40.66802019),-74.89406429,40.66802019
186,187,95625,8553,554,POINT (-74.64055285 40.4001312),-74.64055285,40.4001312
187,188,95435,7666,40261,POINT (-74.01057102 40.89004984),-74.01057102,40.89004984
188,189,95407,8848,8359,POINT (-75.09585661 40.59454895),-75.09585661,40.59454895
189,190,94688,7848,4689,POINT (-74.68421829 41.10345706),-74.68421829,41.10345706
190,191,94453,7418,1861,POINT (-74.48677 41.23558629),-74.48677,41.23558629
191,192,94083,8340,732,POINT (-74.8731045 39.43605079),-74.8731045,39.43605079
192,193,94052,7465,6503,POINT (-74.27532852 41.04638318),-74.27532852,41.04638318
193,194,93884,7852,4076,POINT (-74.66254803 40.88208026),-74.66254803,40.88208026
194,195,93732,8053,45669,POINT (-74.89459123 39.86020494),-74.89459123,39.86020494
195,196,93488,7849,9166,POINT (-74.6110505 40.9606159),-74.6110505,40.9606159
196,197,93221,8077,19020,POINT (-74.9951669 40.00195908),-74.9951669,40.00195908
197,198,93214,7460,3574,POINT (-74.49572158 41.11192954),-74.49572158,41.11192954
198,199,93190,8812,14435,POINT (-74.485027 40.60400522),-74.485027,40.60400522
199,200,93068,7747,30709,POINT (-74.25179946 40.41328702),-74.25179946,40.41328702
200,201,92875,8022,8955,POINT (-74.7090554 40.07362891),-74.7090554,40.07362891
